Kyle Juszczyk,BAL,0,0,0,2.7,21.4,0,0,2.1
Tyler Clutts,HOU,0,0,0,2.7,20.7,0,0,2.1
Terrance Ganaway,FA,5.3,20.4,0,0,0,0,0,2
Will Ta'ufo'ou,JAC,2,5.4,0,3.4,14.7,0,0,2
John Conner,CIN,4.7,19.4,0,0,0,0,0,1.9
Stefan Logan,FA,6,32,0,1.4,10.7,0,1.4,1.6
Chris Gronkowski,SD,1.4,4,0,2,10,0,0,1.4
Brit Miller,FA,1.4,3.4,0,0.7,9.4,0,0,1.3
Nate Eachus,FA,2,6.7,0,1.4,6,0,0,1.3
Armond Smith,CAR,4,12,0,0,0,0,0,1.2
Corey McIntyre,FA,0.7,1.4,0,1.4,10,0,0,1.1
Manase Tonga,FA,0,4,0,1.4,6,0,0,1
Reagan Maui'a,ARI,0,0,0,0.7,8.7,0,0,0.9
Brock Bolen,FA,0.7,3.4,0,0.7,4.7,0,0,0.8
Thomas Clayton,FA,3.4,6.7,0,0,0.7,0,0,0.7
Eddie Williams,CLE,0.7,0.7,0,0,5.4,0,0,0.6
Robert Hughes,IND,0.7,3.4,0,0.7,2,0,0,0.5
Moran Norris,FA,0.7,0,0,0.7,4.7,0,0,0.5
Josh Vaughan,ATL,1.3,4.4,0,0,0,0,0,0.4
Allen Bradford,SEA,1.4,4,0,0,0,0,0,0.4
Davin Meggett,IND,0,0,0,0,0,0,0,0
Steven Miller,DET,0,0,0,0,0,0,0,0
Bobby Rainey,BAL,0,0,0,0,0,0,0,0
C.J. Anderson,DEN,0,0,0,0,0,0,0,0
Mossis Madu,FA,0,0,0,0,0,0,0,0
Jewel Hampton,FA,0,0,0,0,0,0,0,0
Alfonso Smith,FA,0,0,0,0,0,0,0,0
Edwin Baker,SD,0,0,0,0,0,0,0,0
Jordan Roberts,KC,0,0,0,0,0,0,0,0
Ray Graham,HOU,0,0,0,0,0,0,0,0
Curtis Brinkley,CHI,0,0,0,0,0,0,0,0
Jawan Jamison,WAS,0,0,0,0,0,0,0,0
Jeremiah Johnson,DEN,0,0,0,0,0,0,0,0
Tauren Poole,CAR,0,0,0,0,0,0,0,0
Marcus Lattimore,SF,0,0,0,0,0,0,0,0
Dominique Whaley,SEA,0,0,0,0,0,0,0,0
Jeff Demps,TB,0,0,0,0,0,0,0,0
Khiry Robinson,NO,0,0,0,0,0,0,0,0
Jonathan Grimes,JAC,0,0,0,0,0,0,0,0
Deji Karim,HOU,0,0,0,0,0,0,0,0
D.J. Harper,SF,0,0,0,0,0,0,0,0
Michael Ford,CHI,0,0,0,0,0,0,0,0
Ronnie Wingo,ATL,0,0,0,0,0,0,0,0
Michael Hill,SD,0,0,0,0,0,0,0,0
Kahlil Bell,NYJ,0,0,0,0,0,0,0,0
