"TE","Jeff Cumberland",3500,"TB@NYJ 01:00PM ET",0
"K","Steven Hauschka",3500,"Sea@Car 01:00PM ET",0
"RB","Justin Forsett",3400,"KC@Jac 01:00PM ET",0
"K","Dan Bailey",3400,"NYG@Dal 08:30PM ET",0
"DST","Falcons ",3400,"Atl@NO 01:00PM ET",0
"RB","Vick Ballard",3400,"Oak@Ind 01:00PM ET",0
"K","Randy Bullock",3400,"Hou@SD 10:20PM ET",0
"K","Kai Forbath",3400,"Phi@Was 07:10PM ET",0
"K","Alex Henery",3400,"Phi@Was 07:10PM ET",0
"WR","Robert Woods",3400,"NE@Buf 01:00PM ET",0
"K","Garrett Hartley",3400,"Atl@NO 01:00PM ET",0
"TE","Dustin Keller",3400,"Mia@Cle 01:00PM ET",0
"TE","Fred Davis",3400,"Phi@Was 07:10PM ET",0
"DST","Steelers ",3400,"Ten@Pit 01:00PM ET",0
"TE","Scott Chandler",3400,"NE@Buf 01:00PM ET",0
"K","Sebastian Janikowski",3400,"Oak@Ind 01:00PM ET",0
"K","David Akers",3300,"Min@Det 01:00PM ET",0
"RB","Zac Stacy",3300,"Ari@StL 04:25PM ET",0
"DST","Chiefs ",3300,"KC@Jac 01:00PM ET",0
"WR","Jeremy Kerley",3300,"TB@NYJ 01:00PM ET",0
"RB","Joseph Randle",3300,"NYG@Dal 08:30PM ET",0
"WR","Vincent Brown",3300,"Hou@SD 10:20PM ET",0
"WR","Stedman Bailey",3300,"Ari@StL 04:25PM ET",0
"WR","Andrew Hawkins",3300,"Cin@Chi 01:00PM ET",0
"WR","Aaron Dobson",3300,"NE@Buf 01:00PM ET",0
"RB","Bilal Powell",3300,"TB@NYJ 01:00PM ET",0
"TE","Sean McGrath",3300,"Sea@Car 01:00PM ET",0
"RB","Christine Michael",3300,"Sea@Car 01:00PM ET",0
"RB","Daniel Thomas",3300,"Mia@Cle 01:00PM ET",0
"K","Ryan Succop",3300,"KC@Jac 01:00PM ET",0
"TE","Travis Kelce",3300,"KC@Jac 01:00PM ET",0
"TE","Luke Stocker",3300,"TB@NYJ 01:00PM ET",0
"TE","Anthony Fasano",3300,"KC@Jac 01:00PM ET",0
"TE","Daniel Fells",3300,"NE@Buf 01:00PM ET",0
"RB","Michael Bush",3300,"Cin@Chi 01:00PM ET",0
"RB","LaMichael James",3300,"GB@SF 04:25PM ET",0
"RB","Fred Jackson",3300,"NE@Buf 01:00PM ET",0
"K","Greg Zuerlein",3200,"Ari@StL 04:25PM ET",0
"WR","Nate Washington",3200,"Ten@Pit 01:00PM ET",0
"TE","Delanie Walker",3200,"Ten@Pit 01:00PM ET",0
"DST","Colts ",3200,"Oak@Ind 01:00PM ET",0
